Data;VIX;POL;F2S;Dutch TTF;OIL;OIS1;OIS10;B GER 1;B GER 10;B It 1;B IT 10;B Sp 1;B Sp 10;B FR 1;B FR 10;B HUN 1;B HUN 10
02/01/18;9.77;111.20;0.116855714285714;19.320;66.57;-0.418;0.641;-0.668;0.524;-0.42;2.224;-0.455;1.68;-0.583;0.782;0.108;2.148
03/01/18;9.15;52.45;0.134841428571429;19.325;67.84;-0.42;0.618;-0.683;0.496;-0.44;2.196;-0.472;1.661;-0.578;0.757;0.03;2.095
04/01/18;9.22;243.48;0.152187142857143;19.200;68.07;-0.4195;0.612;-0.669;0.489;-0.466;2.145;-0.47;1.609;-0.582;0.747;0.066;2.043
05/01/18;9.22;108.68;0.152681428571429;18.915;67.62;-0.4192;0.616;-0.661;0.495;-0.463;2.135;-0.469;1.588;-0.579;0.756;0.069;2.023
06/01/18;#N/D;83.81;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
07/01/18;#N/D;164.82;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
08/01/18;9.52;77.28;0.158434285714286;19.050;67.78;-0.421;0.605;-0.673;0.49;-0.455;2.118;-0.473;1.554;-0.552;0.75;0.066;2.036
09/01/18;10.08;157.58;0.152405714285714;19.435;68.82;-0.42;0.631;-0.661;0.527;-0.435;2.169;-0.474;1.585;-0.551;0.78;0.077;2.067
10/01/18;9.82;89.18;0.156094285714286;19.325;69.20;-0.419;0.653;-0.658;0.536;-0.427;2.17;-0.447;1.621;-0.564;0.776;0.085;2.099
11/01/18;9.88;111.72;0.140014285714286;19.320;69.26;-0.414;0.688;-0.616;0.575;-0.385;2.177;-0.438;1.605;-0.545;0.824;0.077;2.063
12/01/18;10.16;107.69;0.153994285714286;19.805;69.87;-0.414;0.689;-0.637;0.573;-0.381;2.109;-0.434;1.568;-0.531;0.814;0.079;2.065
13/01/18;#N/D;171.33;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
14/01/18;#N/D;176.99;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
15/01/18;#N/D;272.42;0.151668571428571;#N/D;70.26;-0.414;0.704;-0.644;0.583;-0.383;2.135;-0.417;1.604;-0.55;0.826;0.082;2.073
16/01/18;11.66;61.57;0.147664285714286;18.900;69.15;-0.415;0.683;-0.648;0.558;-0.395;2.101;-0.432;1.572;-0.551;0.801;0.085;2.066
17/01/18;11.91;61.83;0.140767142857143;18.440;69.38;-0.4188;0.677;-0.639;0.559;-0.396;2.133;-0.409;1.574;-0.557;0.805;0.086;2.055
18/01/18;12.22;115.86;0.149198571428571;18.350;69.31;-0.421;0.696;-0.651;0.569;-0.412;2.119;-0.424;1.562;-0.553;0.813;0.09;2.189
19/01/18;11.27;88.34;0.15784;18.190;68.61;-0.4225;0.701;-0.66;0.564;-0.405;2.091;-0.452;1.514;-0.553;0.808;0.11;2.275
20/01/18;#N/D;85.40;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
21/01/18;#N/D;132.01;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
22/01/18;11.03;110.72;0.157092857142857;18.545;69.03;-0.423;0.707;-0.648;0.566;-0.407;2.054;-0.469;1.468;-0.568;0.812;0.114;2.229
23/01/18;11.1;74.52;0.153012857142857;18.200;69.96;-0.424;0.703;-0.639;0.561;-0.414;2.021;-0.467;1.433;-0.572;0.81;0.095;2.233
24/01/18;11.47;93.27;0.149865714285714;17.790;70.53;-0.423;0.716;-0.631;0.587;-0.404;2.041;-0.455;1.434;-0.575;0.827;0.094;2.226
25/01/18;11.58;77.97;0.13853;17.780;70.42;-0.4241;0.737;-0.622;0.61;-0.397;2.093;-0.449;1.486;-0.57;0.854;0.059;2.276
